Index;acousticness;album;artist_popularity;artists;danceability;disc_number;duration_ms;energy;explicit;followers;genres;instrumentalness;key;liveness;loudness;mode;name;popularity;release_date;speechiness;tempo;track_number;uri;valence
62;0.974;Veneer;69;José González;0.552;1;160240;0.15;FALSE;854088;gothenburg indie;0.731;3;0.0698;-16.746;1;Heartbeats;66;2003;0.0347;87.485;4;spotify:track:11X4Gw3T4hoktVruLgTnm1;0.316
63;0.829;Spotify Sessions;72;Angus & Julia Stone;0.613;1;174360;0.103;FALSE;1060209;australian indie folk;0.0147;0;0.708;-22.224;1;Stay With Me - Live From Spotify Berlin;0;13.01.2014;0.0434;75.928;4;spotify:track:5FwD0r8W7XSBtXc7Jb4HuC;0.159
64;0.89;Big Jet Plane;72;Angus & Julia Stone;0.602;1;194960;0.0658;FALSE;1060209;australian indie folk;0;5;0.108;-13.76;0;You're the One That I Want;0;03.05.2010;0.0371;80.073;4;spotify:track:2lMT78bIa5p661B5ajMIbr;0.31
65;0.417;Sun Giant;74;Fleet Foxes;0.391;1;275306;0.45;FALSE;1039601;chamber pop;0.000335;11;0.14;-9.251;1;Mykonos;0;01.01.2008;0.0306;121.946;4;spotify:track:3RVupqMb1zXl8FNG9TlWBZ;0.344
66;0.728;If You Wait (Deluxe Version);72;London Grammar;0.581;1;275440;0.402;FALSE;1117662;metropopolis;2.48E-05;10;0.076;-11.637;1;Strong;0;01.01.2013;0.0329;75.991;6;spotify:track:7LA5YZPyUAxk8ZrmPas1yV;0.261
67;0.89;The Freewheelin' Bob Dylan;78;Bob Dylan;0.6;1;217400;0.243;FALSE;4609367;classic rock;0.0022;4;0.249;-17.085;1;Don't Think Twice, It's All Right;66;27.05.1963;0.0366;110.535;7;spotify:track:2WOjLF83vqjit2Zh4B69V3;0.468
68;0.336;Every Kingdom (Deluxe Version);73;Ben Howard;0.547;1;249173;0.49;FALSE;1805854;british singer-songwriter;0.00174;8;0.118;-9.891;1;Only Love;0;01.01.2011;0.137;80.305;5;spotify:track:3MdYFBIzPf7lSJnI8wi3Ka;0.365
69;0.438;I Forget Where We Were;73;Ben Howard;0.3;1;281213;0.477;FALSE;1805854;british singer-songwriter;0.169;0;0.0924;-9.555;1;I Forget Where We Were;0;20.10.2014;0.0365;112.976;3;spotify:track:6rQvEE7Jvkdwnn8RroMs15;0.187
70;0.47;Every Kingdom (Deluxe Version);73;Ben Howard;0.436;1;264546;0.579;FALSE;1805854;british singer-songwriter;1.16E-05;4;0.111;-8.968;0;Keep Your Head Up;0;01.01.2011;0.035;157.974;7;spotify:track:0UBUnp3ggZivpFWGQxoSok;0.399
71;0.906;Music For The Motion Picture Into The Wild;68;Eddie Vedder;0.403;1;156453;0.582;FALSE;1144985;acoustic rock;0.216;7;0.132;-6.86;1;Rise;0;17.12.2007;0.0542;173.274;4;spotify:track:3yREcJtetxQZWj71yVb1k1;0.554
72;0.591;Modern Vampires of the City;73;Vampire Weekend;0.624;1;251626;0.724;FALSE;1633741;baroque pop;7.79E-06;10;0.101;-7.113;1;Step;61;27.05.2013;0.101;78.008;3;spotify:track:78J9MBkAoqfvyeEpQKJDzD;0.624
73;0.895;O;67;Damien Rice;0.51;1;286400;0.134;FALSE;892956;acoustic pop;0.00692;0;0.0787;-15.982;1;Older Chests;49;03.06.2003;0.0307;110.962;5;spotify:track:7FCYixd46BlSiO2memrsPo;0.134
74;0.585;Illinois;76;Sufjan Stevens;0.579;1;364613;0.463;FALSE;1192294;baroque pop;0;7;0.0892;-9.657;1;Chicago;63;05.07.2005;0.0303;124.977;9;spotify:track:7Bo0xLcXWx3pdhqwthqGaz;0.447
75;0.307;The Rip Tide;64;Beirut;0.728;1;254386;0.671;FALSE;822570;albuquerque indie;0.00574;11;0.109;-6.772;1;Santa Fe;0;30.08.2011;0.027;131.72;2;spotify:track:6c9t15M38cWxyt3uLnLfD8;0.959
76;0.000105;Saturdays = Youth;75;M83;0.399;1;304906;0.761;FALSE;1803507;french shoegaze;0.0456;9;0.0757;-6.318;1;We Own The Sky;0;11.04.2008;0.0334;140.084;7;spotify:track:1I4EczxGBcPR3J3KeyqFJP;0.243
77;0.198;Hurry Up, We're Dreaming;75;M83;0.426;1;343253;0.228;FALSE;1803507;french shoegaze;0.13;2;0.0832;-10.552;1;Wait;0;18.10.2011;0.0322;147.994;5;spotify:track:70y3OsCu7GBkJ3aqD94Agv;0.0822
78;0.209;Born To Die (Deluxe Version);87;Lana Del Rey;0.18;1;286253;0.636;FALSE;11435308;art pop;0.000133;4;0.217;-6.591;0;Born To Die;54;01.01.2012;0.0439;75.223;1;spotify:track:2wMby9pciuGUIP8q7y4Yn6;0.39
79;0.145;Torches;78;Foster The People;0.733;1;239600;0.71;FALSE;3024573;indie pop;0.115;5;0.0956;-5.849;0;Pumped up Kicks;0;13.06.2011;0.0292;127.975;2;spotify:track:6qj3fVJJ2PcRxpSG7lDPZ5;0.965
80;0.676;The Very Best Of;74;Nina Simone;0.436;1;620173;0.552;FALSE;1927037;adult standards;9.08E-06;11;0.0965;-12.838;0;Sinnerman;0;29.04.2006;0.101;147.706;16;spotify:track:6puDH4jNRgeRpMhzgMbO53;0.642
81;0.00462;Give Me Fire;61;Mando Diao;0.555;1;317866;0.841;FALSE;249198;dalarna indie;1.12E-05;1;0.257;-5.353;0;Dance With Somebody;47;01.01.2009;0.0981;150.27;2;spotify:track:2Y6CA1HAZjwPxBL8EZjwUW;0.534
82;0.0288;Whatever People Say I Am, That's What I'm Not;87;Arctic Monkeys;0.634;1;175440;0.599;FALSE;9938433;garage rock;0;2;0.197;-5.447;1;Mardy Bum;0;2006;0.0365;112.215;9;spotify:track:7iqTu4OPL3KYs4FMdtLZsy;0.312
83;0.0867;Fire;68;Kasabian;0.526;1;251946;0.741;FALSE;1436035;alternative rock;0.128;10;0.108;-5.663;1;Fire;44;29.05.2009;0.0311;117.031;1;spotify:track:7K2vo9oSUzFgmtIXNYegzP;0.17
84;0.022;Discover Kasabian;68;Kasabian;0.433;1;214386;0.912;FALSE;1436035;alternative rock;1.96E-05;0;0.0929;-6.83;1;Club Foot;36;25.07.2008;0.0729;102.382;2;spotify:track:19OUs1NzU15Fe3oSIeTuyG;0.115
85;0.00418;Cruel Intentions;70;Placebo;0.484;1;215533;0.96;FALSE;1318804;alternative rock;2.60E-06;5;0.355;-5.575;1;Every You Every Me;0;01.01.1999;0.0574;133.071;1;spotify:track:4arleVbvlZQ0TUWpBveUM6;0.315
86;0.0356;Takk...;63;Sigur Rós;0.312;1;270013;0.543;FALSE;993900;bow pop;0.225;11;0.128;-9.875;1;Hoppípolla;58;22.08.2005;0.0308;140.109;3;spotify:track:6eTGxxQxiTFE6LfZHC33Wm;0.178
87;0.0147;Donker Mag;66;Die Antwoord;0.822;1;213607;0.669;TRUE;1405245;african rock;0;10;0.188;-5.358;0;Ugly Boy;60;03.06.2014;0.182;102.035;2;spotify:track:0zSGK8ZpVuo0XdIY21Vyrh;0.602
88;0.0521;Ten$ion;66;Die Antwoord;0.829;1;236840;0.844;TRUE;1405245;african rock;0.00148;4;0.171;-4.329;0;Baby's on Fire;63;31.01.2012;0.0966;130.04;9;spotify:track:7rmUSOrOLRBzI8Uq63qYcR;0.762
89;0.00201;Ode To Ochrasy;61;Mando Diao;0.387;1;169786;0.966;FALSE;249198;dalarna indie;1.12E-05;9;0.146;-2.757;0;Long Before Rock 'n' Roll;44;25.08.2006;0.0674;106.71;3;spotify:track:58IZLB5bpAKQgeccRgq0ZI;0.482
90;0.000273;Black Holes and Revelations;80;Muse;0.366;1;366213;0.963;FALSE;6070456;modern rock;0.0122;11;0.115;-5.301;0;Knights of Cydonia;69;19.06.2006;0.142;137.114;11;spotify:track:7ouMYWpwJ422jRcDASZB7P;0.211
91;0.744;Back To Black (Deluxe Edition);79;Amy Winehouse;0.772;2;233733;0.371;FALSE;6715069;british soul;0;5;0.167;-5.743;0;Valerie - Live At BBC Radio 1 Live Lounge, London / 2007;73;2006;0.0348;96.574;1;spotify:track:6nLvaCZFR1wEzW3sIKpsnr;0.684
92;0.0952;Donavon Frankenreiter;62;Donavon Frankenreiter;0.937;1;186000;0.528;FALSE;309570;neo mellow;1.10E-06;0;0.237;-6.305;1;It Don't Matter;60;01.01.2004;0.0353;104.96;1;spotify:track:2UjGyCvayHjGihV3oLhD8a;0.766
93;0.831;Use Your Voice;47;Mason Jennings;0.779;1;203333;0.385;FALSE;53693;deep new americana;0.0519;11;0.0575;-9.368;1;Ulysses;39;10.02.2004;0.05;78.304;10;spotify:track:2l8qs1c678EadgudW25dv7;0.523
94;0.281;Star of Love (+ acoustic version);59;Crystal Fighters;0.679;1;308413;0.611;FALSE;334258;alternative dance;0.00019;11;0.538;-7.092;1;At Home - acoustic;0;24.01.2011;0.0407;106.705;12;spotify:track:453dRwNyWWCjtKhh57Br6v;0.515
95;0.792;Conor Oberst;57;Conor Oberst;0.631;1;244173;0.566;FALSE;129849;indie folk;2.34E-05;9;0.108;-10.194;1;Cape Canaveral;25;01.01.2008;0.0473;126.166;1;spotify:track:5RlSc9SkmmV1Ma4Hd7TQYZ;0.631
96;0.808;Around The Well;71;Iron & Wine;0.61;1;251280;0.275;FALSE;914868;acoustic pop;0.913;6;0.403;-10.644;1;Such Great Heights;0;19.05.2009;0.028;94.088;11;spotify:track:7vcuTZAFyu0Z5dgMRLR0h0;0.552
97;0.000226;Places;49;Lou Doillon;0.61;1;244280;0.645;FALSE;59317;french indie pop;6.77E-05;7;0.11;-8.321;0;Devil Or Angel;37;01.01.2012;0.028;95.891;2;spotify:track:2B0vzJSvp2Y0Bx8HUN4jyT;0.284
98;0.367;Moondance;78;Van Morrison;0.608;1;205613;0.524;FALSE;1834369;classic rock;0.00254;8;0.115;-10.266;1;Into the Mystic - 2013 Remaster;74;1970-02;0.0309;86.204;5;spotify:track:3lh3iiiJeiBXHSZw6u0kh6;0.797
99;0.21;Caught In The Trees;57;Damien Jurado;0.723;1;256173;0.347;FALSE;140157;alternative country;0.0122;6;0.124;-9.694;1;Sheets;48;09.09.2008;0.0283;109.972;10;spotify:track:5V4NlIfbLfR5c8U9330HY8;0.166
